+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   0.6786   |
| epoch 2  |   0.4435   |
| epoch 3  |   0.3995   |
| epoch 4  |   0.3658   |
| epoch 5  |   0.3391   |
| epoch 6  |   0.3167   |
| epoch 7  |   0.2947   |
| epoch 8  |   0.2751   |
| epoch 9  |   0.2577   |
| epoch 10 |   0.2413   |
| epoch 11 |   0.2236   |
| epoch 12 |   0.2119   |
| epoch 13 |   0.1984   |
| epoch 14 |   0.1859   |
| epoch 15 |   0.1730   |
| epoch 16 |   0.1591   |
| epoch 17 |   0.1540   |
| epoch 18 |   0.1478   |
| epoch 19 |   0.1330   |
| epoch 20 |   0.0927   |
| epoch 21 |   0.0756   |
| epoch 22 |   0.0701   |
| epoch 23 |   0.0677   |
| epoch 24 |   0.0642   |
| epoch 25 |   0.0591   |
| epoch 26 |   0.0581   |
| epoch 27 |   0.0543   |
| epoch 28 |   0.0532   |
| epoch 29 |   0.0500   |
| epoch 30 |   0.0454   |
| epoch 31 |   0.0481   |
| epoch 32 |   0.0446   |
| epoch 33 |   0.0413   |
| epoch 34 |   0.0424   |
| epoch 35 |   0.0437   |
| epoch 36 |   0.0405   |
| epoch 37 |   0.0394   |
| epoch 38 |   0.0407   |
| epoch 39 |   0.0375   |
| epoch 40 |   0.0249   |
| epoch 41 |   0.0195   |
| epoch 42 |   0.0191   |
| epoch 43 |   0.0200   |
| epoch 44 |   0.0179   |
| epoch 45 |   0.0168   |
| epoch 46 |   0.0192   |
| epoch 47 |   0.0165   |
| epoch 48 |   0.0176   |
| epoch 49 |   0.0167   |
| epoch 50 |   0.0164   |
+----------+------------+
