+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   0.6316   |
| epoch 2  |   0.4705   |
| epoch 3  |   0.4319   |
| epoch 4  |   0.4098   |
| epoch 5  |   0.3941   |
| epoch 6  |   0.3832   |
| epoch 7  |   0.3704   |
| epoch 8  |   0.3579   |
| epoch 9  |   0.3520   |
| epoch 10 |   0.3424   |
| epoch 11 |   0.3323   |
| epoch 12 |   0.3264   |
| epoch 13 |   0.3160   |
| epoch 14 |   0.3069   |
| epoch 15 |   0.3015   |
| epoch 16 |   0.2910   |
| epoch 17 |   0.2879   |
| epoch 18 |   0.2816   |
| epoch 19 |   0.2718   |
| epoch 20 |   0.2441   |
| epoch 21 |   0.2317   |
| epoch 22 |   0.2246   |
| epoch 23 |   0.2179   |
| epoch 24 |   0.2128   |
| epoch 25 |   0.2088   |
| epoch 26 |   0.2022   |
| epoch 27 |   0.1997   |
| epoch 28 |   0.1937   |
| epoch 29 |   0.1868   |
| epoch 30 |   0.1839   |
| epoch 31 |   0.1775   |
| epoch 32 |   0.1756   |
| epoch 33 |   0.1712   |
| epoch 34 |   0.1676   |
| epoch 35 |   0.1635   |
| epoch 36 |   0.1598   |
| epoch 37 |   0.1551   |
| epoch 38 |   0.1523   |
| epoch 39 |   0.1515   |
| epoch 40 |   0.1264   |
| epoch 41 |   0.1206   |
| epoch 42 |   0.1180   |
| epoch 43 |   0.1143   |
| epoch 44 |   0.1162   |
| epoch 45 |   0.1102   |
| epoch 46 |   0.1094   |
| epoch 47 |   0.1060   |
| epoch 48 |   0.1023   |
| epoch 49 |   0.0998   |
| epoch 50 |   0.1004   |
+----------+------------+
