+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   0.7185   |
| epoch 2  |   0.4447   |
| epoch 3  |   0.3989   |
| epoch 4  |   0.3709   |
| epoch 5  |   0.3454   |
| epoch 6  |   0.3244   |
| epoch 7  |   0.3047   |
| epoch 8  |   0.2852   |
| epoch 9  |   0.2717   |
| epoch 10 |   0.2541   |
| epoch 11 |   0.2403   |
| epoch 12 |   0.2238   |
| epoch 13 |   0.2072   |
| epoch 14 |   0.2002   |
| epoch 15 |   0.1883   |
| epoch 16 |   0.1769   |
| epoch 17 |   0.1643   |
| epoch 18 |   0.1575   |
| epoch 19 |   0.1466   |
| epoch 20 |   0.1045   |
| epoch 21 |   0.0857   |
| epoch 22 |   0.0812   |
| epoch 23 |   0.0741   |
| epoch 24 |   0.0720   |
| epoch 25 |   0.0682   |
| epoch 26 |   0.0640   |
| epoch 27 |   0.0599   |
| epoch 28 |   0.0557   |
| epoch 29 |   0.0561   |
| epoch 30 |   0.0554   |
| epoch 31 |   0.0496   |
| epoch 32 |   0.0522   |
| epoch 33 |   0.0491   |
| epoch 34 |   0.0451   |
| epoch 35 |   0.0427   |
| epoch 36 |   0.0416   |
| epoch 37 |   0.0421   |
| epoch 38 |   0.0415   |
| epoch 39 |   0.0408   |
| epoch 40 |   0.0279   |
| epoch 41 |   0.0215   |
| epoch 42 |   0.0204   |
| epoch 43 |   0.0210   |
| epoch 44 |   0.0200   |
| epoch 45 |   0.0195   |
| epoch 46 |   0.0200   |
| epoch 47 |   0.0196   |
| epoch 48 |   0.0206   |
| epoch 49 |   0.0186   |
| epoch 50 |   0.0182   |
+----------+------------+
