+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   0.8908   |
| epoch 2  |   0.5395   |
| epoch 3  |   0.4900   |
| epoch 4  |   0.4533   |
| epoch 5  |   0.4329   |
| epoch 6  |   0.4059   |
| epoch 7  |   0.3902   |
| epoch 8  |   0.3726   |
| epoch 9  |   0.3533   |
| epoch 10 |   0.3379   |
| epoch 11 |   0.3205   |
| epoch 12 |   0.3050   |
| epoch 13 |   0.2865   |
| epoch 14 |   0.2645   |
| epoch 15 |   0.2532   |
| epoch 16 |   0.2422   |
| epoch 17 |   0.2250   |
| epoch 18 |   0.2139   |
| epoch 19 |   0.1871   |
| epoch 20 |   0.1419   |
| epoch 21 |   0.1159   |
| epoch 22 |   0.1032   |
| epoch 23 |   0.0963   |
| epoch 24 |   0.0891   |
| epoch 25 |   0.0832   |
| epoch 26 |   0.0779   |
| epoch 27 |   0.0712   |
| epoch 28 |   0.0730   |
| epoch 29 |   0.0672   |
| epoch 30 |   0.0613   |
| epoch 31 |   0.0566   |
| epoch 32 |   0.0536   |
| epoch 33 |   0.0544   |
| epoch 34 |   0.0549   |
| epoch 35 |   0.0538   |
| epoch 36 |   0.0464   |
| epoch 37 |   0.0474   |
| epoch 38 |   0.0516   |
| epoch 39 |   0.0423   |
| epoch 40 |   0.0283   |
| epoch 41 |   0.0203   |
| epoch 42 |   0.0208   |
| epoch 43 |   0.0181   |
| epoch 44 |   0.0180   |
| epoch 45 |   0.0166   |
| epoch 46 |   0.0163   |
| epoch 47 |   0.0157   |
| epoch 48 |   0.0165   |
| epoch 49 |   0.0171   |
| epoch 50 |   0.0180   |
+----------+------------+
