+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   0.6876   |
| epoch 2  |   0.5914   |
| epoch 3  |   0.5328   |
| epoch 4  |   0.4980   |
| epoch 5  |   0.4702   |
| epoch 6  |   0.4551   |
| epoch 7  |   0.4396   |
| epoch 8  |   0.4245   |
| epoch 9  |   0.4098   |
| epoch 10 |   0.3990   |
| epoch 11 |   0.3911   |
| epoch 12 |   0.3826   |
| epoch 13 |   0.3754   |
| epoch 14 |   0.3626   |
| epoch 15 |   0.3546   |
| epoch 16 |   0.3480   |
| epoch 17 |   0.3405   |
| epoch 18 |   0.3321   |
| epoch 19 |   0.3265   |
| epoch 20 |   0.2918   |
| epoch 21 |   0.2817   |
| epoch 22 |   0.2747   |
| epoch 23 |   0.2712   |
| epoch 24 |   0.2646   |
| epoch 25 |   0.2620   |
| epoch 26 |   0.2518   |
| epoch 27 |   0.2498   |
| epoch 28 |   0.2405   |
| epoch 29 |   0.2387   |
| epoch 30 |   0.2324   |
| epoch 31 |   0.2308   |
| epoch 32 |   0.2209   |
| epoch 33 |   0.2206   |
| epoch 34 |   0.2150   |
| epoch 35 |   0.2137   |
| epoch 36 |   0.2112   |
| epoch 37 |   0.2050   |
| epoch 38 |   0.2028   |
| epoch 39 |   0.1931   |
| epoch 40 |   0.1722   |
| epoch 41 |   0.1682   |
| epoch 42 |   0.1599   |
| epoch 43 |   0.1603   |
| epoch 44 |   0.1584   |
| epoch 45 |   0.1514   |
| epoch 46 |   0.1486   |
| epoch 47 |   0.1433   |
| epoch 48 |   0.1453   |
| epoch 49 |   0.1419   |
| epoch 50 |   0.1403   |
+----------+------------+
