+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   0.9054   |
| epoch 2  |   0.5507   |
| epoch 3  |   0.4932   |
| epoch 4  |   0.4608   |
| epoch 5  |   0.4357   |
| epoch 6  |   0.4112   |
| epoch 7  |   0.3994   |
| epoch 8  |   0.3823   |
| epoch 9  |   0.3661   |
| epoch 10 |   0.3539   |
| epoch 11 |   0.3463   |
| epoch 12 |   0.3256   |
| epoch 13 |   0.3150   |
| epoch 14 |   0.3013   |
| epoch 15 |   0.2863   |
| epoch 16 |   0.2706   |
| epoch 17 |   0.2583   |
| epoch 18 |   0.2499   |
| epoch 19 |   0.2378   |
| epoch 20 |   0.1853   |
| epoch 21 |   0.1571   |
| epoch 22 |   0.1467   |
| epoch 23 |   0.1344   |
| epoch 24 |   0.1257   |
| epoch 25 |   0.1185   |
| epoch 26 |   0.1104   |
| epoch 27 |   0.0999   |
| epoch 28 |   0.0949   |
| epoch 29 |   0.0866   |
| epoch 30 |   0.0844   |
| epoch 31 |   0.0778   |
| epoch 32 |   0.0736   |
| epoch 33 |   0.0734   |
| epoch 34 |   0.0680   |
| epoch 35 |   0.0605   |
| epoch 36 |   0.0596   |
| epoch 37 |   0.0543   |
| epoch 38 |   0.0563   |
| epoch 39 |   0.0584   |
| epoch 40 |   0.0375   |
| epoch 41 |   0.0270   |
| epoch 42 |   0.0261   |
| epoch 43 |   0.0244   |
| epoch 44 |   0.0215   |
| epoch 45 |   0.0231   |
| epoch 46 |   0.0211   |
| epoch 47 |   0.0226   |
| epoch 48 |   0.0222   |
| epoch 49 |   0.0227   |
| epoch 50 |   0.0234   |
+----------+------------+
